2.9e-07	1e-08	8.65129501057968e-08	4.699560661981287e-07	2.5e-07	1.3828195421478774e-07	385451354513545.1	0.5914424143365828	227972279722797.22	271465214652146.53	499437494374943.75	0.0
2.9e-07	1.368421052631579e-08	8.65129501057968e-08	4.699560661981287e-07	2.5e-07	1.3876778112403438e-07	385692106921069.25	0.5919016200260184	228291782917829.2	271546215462154.62	499837998379983.8	0.0
2.9e-07	1.736842105263158e-08	8.65129501057968e-08	4.699560661981287e-07	2.5e-07	1.3926206568048098e-07	385937359373593.75	0.592120145050896	228521285212852.12	271676716767167.7	500198001980019.8	0.0
2.9e-07	2.105263157894737e-08	8.65129501057968e-08	4.699560661981287e-07	2.5e-07	1.3965160852589842e-07	386130861308613.1	0.5925459758058877	228800288002880.06	271730717307173.06	500531005310053.1	0.0
2.9e-07	2.473684210526316e-08	8.65129501057968e-08	4.699560661981287e-07	2.5e-07	1.3990053014251037e-07	386254612546125.44	0.5930668095790106	229074790747907.47	271717217172171.72	500792007920079.2	0.0
2.9e-07	2.842105263157895e-08	8.65129501057968e-08	4.699560661981287e-07	2.5e-07	2.7272317964231214e-07	465934659346593.5	0.1514970059880239	70587705877058.75	430640806408064.1	501228512285122.9	0.0
2.9e-07	3.210526315789474e-08	8.65129501057968e-08	4.699560661981287e-07	2.5e-07	1.41205883482354e-07	386904869048690.5	0.5930819511968177	229466294662946.62	272171721717217.2	501638016380163.8	0.0
2.9e-07	3.578947368421053e-08	8.65129501057968e-08	4.699560661981287e-07	2.5e-07	1.418906769196167e-07	387246872468724.7	0.5930694680084599	229664296642966.47	272414724147241.47	502079020790207.94	0.0
2.9e-07	3.947368421052632e-08	8.65129501057968e-08	4.699560661981287e-07	2.5e-07	1.4255179469420572e-07	387577625776257.75	0.5930161678906273	229839798397983.97	272657726577265.78	502497524975249.75	0.0
2.9e-07	4.315789473684211e-08	8.65129501057968e-08	4.699560661981287e-07	2.5e-07	1.4327009738429537e-07	387937629376293.75	0.5930690485166604	230073800738007.38	272900729007290.06	502974529745297.44	0.0
2.9e-07	4.6842105263157904e-08	8.65129501057968e-08	4.699560661981287e-07	2.5e-07	1.4430927144076905e-07	388459634596345.94	0.5925964540362706	230199801998019.97	273359733597335.97	503559535595355.94	0.0
2.9e-07	5.0526315789473687e-08	8.65129501057968e-08	4.699560661981287e-07	2.5e-07	1.4524303556613802e-07	388929889298893.0	0.5921229231267644	230294302943029.4	273782737827378.28	504077040770407.7	0.0
2.9e-07	5.421052631578948e-08	8.65129501057968e-08	4.699560661981287e-07	2.5e-07	1.464370991426416e-07	389532895328953.3	0.5915297705690719	230420304203042.03	274322743227432.28	504743047430474.3	0.0
2.9e-07	5.7894736842105265e-08	8.65129501057968e-08	4.699560661981287e-07	2.5e-07	1.4756981453594237e-07	390106651066510.7	0.5905790205272841	230388803888038.88	274912249122491.25	505301053010530.1	0.0
