2.4e-07	1e-07	4e-07	35327853278532.75	341521165211652.1	323857238572385.75	359185091850918.5
2.533333333333333e-07	1e-07	4e-07	29432294322943.25	323896238962389.6	309180091800918.0	338612386123861.25
2.6666666666666667e-07	1e-07	4e-07	23738237382373.812	310649106491064.9	298779987799878.0	322518225182251.8
2.7999999999999997e-07	1e-07	4e-07	20800208002080.0	298298982989829.9	287898878988789.9	308699086990869.9
2.933333333333333e-07	1e-07	4e-07	137534875348753.44	348391733917339.1	279624296242962.44	417159171591715.9
3.0666666666666666e-07	1e-07	4e-07	15060650606506.062	278542035420354.22	271011710117101.2	286072360723607.25
3.2e-07	1e-07	4e-07	138054880548805.44	333025580255802.5	263998139981399.8	402053020530205.25
3.3333333333333335e-07	1e-07	4e-07	137827378273782.69	326834268342683.4	257920579205792.06	395747957479574.75
3.4666666666666665e-07	1e-07	4e-07	138269382693826.94	320360203602036.0	251225512255122.56	389494894948949.5
3.6e-07	1e-07	4e-07	137872878728787.28	315299902999030.0	246363463634636.34	384236342363423.6
2.4e-07	1e-07	4e-07	35301853018530.19	341488664886648.9	323837738377383.75	359139591395913.94
2.6666666666666667e-07	1.8e-07	3.84e-07	100679506795067.94	383615586155861.5	333275832758327.56	433955339553395.5
2.814814814814815e-07	1.8e-07	3.84e-07	81939819398193.94	357410574105741.0	316440664406644.06	398380483804838.0
2.962962962962963e-07	1.8e-07	3.84e-07	148428984289842.88	376485014850148.5	302270522705227.06	450699506995069.94
3.111111111111111e-07	1.8e-07	3.84e-07	53788037880378.81	316957419574195.75	290063400634006.3	343851438514385.1
3.2592592592592596e-07	1.8e-07	3.84e-07	43725937259372.56	301006260062600.6	279143291432914.3	322869228692286.9
3.4074074074074074e-07	1.8e-07	3.84e-07	35581355813558.125	287261872618726.2	269471194711947.12	305052550525505.25
3.555555555555556e-07	1.8e-07	3.84e-07	141623416234162.3	331364813648136.5	260553105531055.3	402176521765217.6
3.703703703703704e-07	1.8e-07	3.84e-07	140628906289062.88	322904979049790.5	252590525905259.06	393219432194321.94
3.851851851851852e-07	1.8e-07	3.84e-07	138197881978819.81	316612916129161.25	247513975139751.38	385711857118571.2
4.0000000000000003e-07	1.8e-07	3.84e-07	138158881588815.88	308988339883398.8	239908899088990.88	378067780677806.75
